id,text,label,author_followers,author_verified,retweets,likes,shares,credibility_score,sentiment
11,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.",propaganda,200832,1,1418,15349,5813,0.288,positive
12,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,385652,1,1449,5314,5169,0.592,neutral
13,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.",fake,191728,1,2321,13693,7871,0.334,positive
14,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,182356,0,3997,16192,945,0.103,positive
15,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.",real,47139,1,845,11542,7995,0.701,negative
16,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.",real,349824,1,1256,4410,6862,0.257,neutral
17,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,25910,1,545,12154,811,0.697,negative
18,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,85038,1,1542,3960,658,0.141,neutral
19,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,462086,1,3221,18307,892,0.806,negative
20,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.",real,372635,1,4155,1794,2011,0.551,neutral
21,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,105210,0,3812,7765,1921,0.157,negative
22,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,155986,1,808,8970,2875,0.44,neutral
23,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,389215,1,2066,11661,6305,0.359,negative
24,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,118360,0,7,9330,562,0.238,positive
25,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.Anonymous sources claim catastrophic events are
being covered up by mainstream outlets, urging citizens to distrust official announcements.",fake,76621,0,455,10107,3679,0.155,negative
26,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.",fake,98069,0,1931,13370,7643,0.546,neutral
27,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,236789,0,2970,15343,4246,0.781,negative
28,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.",real,211929,1,3705,996,1852,0.268,positive
29,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,293061,0,1211,3334,5463,0.348,neutral
30,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.",fake,452704,1,1669,19997,4883,0.175,neutral
31,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,332647,0,552,9727,3607,0.476,positive
32,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.",propaganda,431581,1,3360,18741,5341,0.745,neutral
33,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.",propaganda,393013,0,1942,13868,5296,0.821,neutral
34,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,185115,0,2877,11641,7367,0.534,positive
35,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.",fake,305592,1,2208,19045,7617,0.547,neutral
36,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,11860,0,4718,3175,5585,0.8,negative
37,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,469166,0,1819,14326,7281,0.119,positive
38,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,352817,1,2095,13915,4210,0.94,negative
39,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.",fake,54387,0,2181,10793,530,0.893,positive
40,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.Public health authorities published peer‑reviewed research explaining
trends observed in vaccination programs and hospital admissions.",real,377295,1,3550,13508,3470,0.797,positive
41,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,336224,1,3603,5670,2072,0.4,negative
42,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.",fake,217099,0,542,8921,1952,0.34,neutral
43,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.Anonymous sources claim catastrophic events are
being covered up by mainstream outlets, urging citizens to distrust official announcements.",fake,472163,0,388,5496,1911,0.396,negative
44,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,460064,0,735,5836,3310,0.329,negative
45,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,249581,1,3449,7671,1802,0.158,neutral
46,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret groups are
controlling elections through hidden satellites and encrypted signals spread across social networks. Experts allegedly
suppressed the evidence while insiders leaked screenshots.",fake,227067,0,1226,2625,755,0.718,neutral
47,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,163772,0,4196,18390,7442,0.949,neutral
48,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,233282,1,1977,15433,7512,0.359,positive
49,"Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared privately among
influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies are being shared
privately among influencers and activists.Viral posts insist that miracle cures suppressed by pharmaceutical companies
are being shared privately among influencers and activists.Viral posts insist that miracle cures suppressed by
pharmaceutical companies are being shared privately among influencers and activists.",fake,88894,0,1895,1252,4486,0.377,positive
50,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,17366,1,2649,8927,3089,0.75,neutral
51,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.",real,468650,1,424,1698,244,0.803,negative
52,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.Public health authorities published peer‑reviewed research explaining
trends observed in vaccination programs and hospital admissions.",real,429110,0,2896,9465,2426,0.758,negative
53,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival
groups.Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.",propaganda,102661,0,3591,17807,2969,0.77,neutral
54,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.",propaganda,302352,1,1931,5758,7276,0.477,neutral
55,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,452849,0,4317,11654,3099,0.636,positive
56,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,237241,0,3183,12133,4946,0.739,negative
57,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.",propaganda,344673,1,2623,10682,6403,0.176,positive
58,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,381844,1,4654,15130,4693,0.434,neutral
59,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.Anonymous sources claim catastrophic events are
being covered up by mainstream outlets, urging citizens to distrust official announcements.",fake,156856,1,3073,9725,969,0.676,positive
60,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.According to verified reports from multiple agencies, officials announced policy updates after reviewing
scientific assessments and public data. Independent journalists corroborated the findings.",real,403789,0,763,18631,2462,0.421,neutral
61,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,165803,0,3018,449,3773,0.484,neutral
62,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.",real,130397,1,544,16276,1508,0.602,negative
63,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.",fake,241123,0,2681,8352,5166,0.216,negative
64,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,439630,1,3725,2278,1179,0.287,negative
65,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.",fake,474918,1,3079,331,7391,0.546,negative
66,"Posts strongly emphasize patriotic duty and frame political opponents as existential threats, urging citizens to
mobilize emotionally against rival groups.Posts strongly emphasize patriotic duty and frame political opponents as
existential threats, urging citizens to mobilize emotionally against rival groups.Posts strongly emphasize patriotic
duty and frame political opponents as existential threats, urging citizens to mobilize emotionally against rival groups.",propaganda,156227,0,2852,8916,1622,0.373,positive
67,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,187709,0,2828,5710,1672,0.398,negative
68,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.",fake,76714,1,3493,15497,1178,0.56,negative
69,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.",propaganda,424359,0,4072,14624,6841,0.904,negative
70,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.Anonymous sources claim catastrophic events are
being covered up by mainstream outlets, urging citizens to distrust official announcements.",fake,429720,1,1274,4554,5520,0.347,negative
71,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion
during election campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public
opinion during election campaigns.",propaganda,422486,1,383,13294,797,0.382,positive
72,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.",real,272064,1,4722,7518,3954,0.68,neutral
73,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims that secret
groups are controlling elections through hidden satellites and encrypted signals spread across social networks. Experts
allegedly suppressed the evidence while insiders leaked screenshots.",fake,47085,0,4004,1479,6142,0.766,positive
74,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.Anonymous sources claim catastrophic events are being covered up by
mainstream outlets, urging citizens to distrust official announcements.Anonymous sources claim catastrophic events are
being covered up by mainstream outlets, urging citizens to distrust official announcements.",fake,299471,1,1779,8410,3472,0.268,negative
75,"According to verified reports from multiple agencies, officials announced policy updates after reviewing scientific
assessments and public data. Independent journalists corroborated the findings.According to verified reports from
multiple agencies, officials announced policy updates after reviewing scientific assessments and public data.
Independent journalists corroborated the findings.According to verified reports from multiple agencies, officials
announced policy updates after reviewing scientific assessments and public data. Independent journalists corroborated
the findings.According to verified reports from multiple agencies, officials announced policy updates after reviewing
scientific assessments and public data. Independent journalists corroborated the findings.",real,376370,1,241,8157,2728,0.672,negative
76,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,109933,1,2497,4519,326,0.754,neutral
77,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,208257,0,4826,2818,6854,0.905,negative
78,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.",propaganda,55572,0,2919,14755,3886,0.137,negative
79,"Government departments released audited figures showing gradual economic recovery supported by international
institutions and expert reviews.Government departments released audited figures showing gradual economic recovery
supported by international institutions and expert reviews.Government departments released audited figures showing
gradual economic recovery supported by international institutions and expert reviews.Government departments released
audited figures showing gradual economic recovery supported by international institutions and expert reviews.",real,195257,1,1653,19898,1710,0.125,positive
80,"Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging citizens to distrust
official announcements.Anonymous sources claim catastrophic events are being covered up by mainstream outlets, urging
citizens to distrust official announcements.",fake,179204,1,4834,19912,3072,0.469,neutral
81,"Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to destroy national identity
and social stability.Content repeatedly glorifies one faction while portraying others as corrupt enemies seeking to
destroy national identity and social stability.Content repeatedly glorifies one faction while portraying others as
corrupt enemies seeking to destroy national identity and social stability.Content repeatedly glorifies one faction while
portraying others as corrupt enemies seeking to destroy national identity and social stability.",propaganda,367991,0,3413,16968,4698,0.53,negative
82,"Messages highlight selective statistics and emotionally charged slogans to influence public opinion during election
campaigns.Messages highlight selective statistics and emotionally charged slogans to influence public opinion during
election campaigns.",propaganda,131954,1,1899,12553,3461,0.393,positive
83,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.",real,51684,1,346,5242,6037,0.811,negative
84,"Public health authorities published peer‑reviewed research explaining trends observed in vaccination programs and
hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed in vaccination
programs and hospital admissions.Public health authorities published peer‑reviewed research explaining trends observed
in vaccination programs and hospital admissions.",real,48110,0,2436,12272,1192,0.935,negative
85,"Breaking news claims that secret groups are controlling elections through hidden satellites and encrypted signals spread
across social networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.Breaking news claims
that secret groups are controlling elections through hidden satellites and encrypted signals spread across social
networks. Experts allegedly suppressed the evidence while insiders leaked screenshots.",fake,132109,1,2447,16182,7064,0.677,negative
